Key,Size,LastModified
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/incoming/incoming_arquivo.txt",21,"2025-10-03T19:11:07+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/incoming/incoming_final.txt",23,"2025-10-03T19:17:10+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/",0,"2025-10-03T19:09:43+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/error/",0,"2025-10-03T19:09:39+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/incoming/",0,"2025-10-03T19:09:42+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/incoming/incoming_arquivo.txt",21,"2025-10-03T19:11:08+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/incoming/incoming_final.txt",23,"2025-10-03T19:17:11+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/",0,"2025-10-03T19:09:44+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/error/",0,"2025-10-03T19:09:40+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/incoming/",0,"2025-10-03T19:09:43+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/incoming/incoming_arquivo.txt",21,"2025-10-03T19:11:09+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/incoming/incoming_final.txt",23,"2025-10-03T19:17:12+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/",0,"2025-10-03T19:09:46+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/error/",0,"2025-10-03T19:09:41+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/incoming/",0,"2025-10-03T19:09:44+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/incoming/incoming_arquivo.txt",21,"2025-10-03T19:11:11+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/incoming/incoming_final.txt",23,"2025-10-03T19:17:13+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/",0,"2025-10-03T19:09:47+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:22+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:21+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:20+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:19+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:17+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:16+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:15+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:14+00:00"
"processed/processed/processed/processed/processed/processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:12+00:00"
"processed/processed/processed/processed/processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:11+00:00"
"processed/processed/processed/processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:10+00:00"
"processed/processed/processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:08+00:00"
"processed/processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:07+00:00"
"processed/processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:05+00:00"
"processed/processed/teste_lambda.txt",19,"2025-10-03T18:58:03+00:00"
"processed/teste_lambda.txt",19,"2025-10-03T18:58:02+00:00"
"processed/teste_sns.txt",10,"2025-10-03T18:50:31+00:00"
